game date,grade,round,game status,venue,playing surface,game time,home team,home team score,home team result,home team players in lineup,home team player points used,away team,away team score,away team result,away team players in lineup,away team player points used,bye
11/06/2023,MR2 HHA Shield,Round 11,Upcoming,Gallagher Hockey Centre,New World Te Rapa Turf 1,16:25,Suburbs Saints,,,,,TA Hamilton Radiology,,,,,
11/06/2023,MR2 HHA Shield,Round 11,Upcoming,Gallagher Hockey Centre,Lugtons Turf 2,15:15,Suburbs Pastits,,,,,Fraser Tech Reserve Men,,,,,
11/06/2023,MR2 HHA Shield,Round 11,Upcoming,Gallagher Hockey Centre,New World Te Rapa Turf 1,19:15,Northcare Dental Old Boys,,,,,Varsity R2 Men,,,,,
11/06/2023,MR2 HHA Shield,Round 11,Upcoming,Gallagher Hockey Centre,Lugtons Turf 2,18:05,Morrinsville Mens Hockey Club,,,,,Hamilton Old Boys Jnr Development,,,,,
11/06/2023,MR3 Des Meads Trophy,Round 11,Upcoming,Gallagher Hockey Centre,Lugtons Turf 2,11:00,Suburbs Reserve Men,,,,,Varsity Storage King,,,,,
11/06/2023,MR3 Des Meads Trophy,Round 11,Upcoming,Gallagher Hockey Centre,New World Te Rapa Turf 1,12:10,Concept Joinery Old Boys,,,,,Fraser Tech Social,,,,,
11/06/2023,MR3 Des Meads Trophy,Round 11,Upcoming,Gallagher Hockey Centre,New World Te Rapa Turf 1,9:20,TA Absolute Storage,,,,,Hamilton Wanderers Reserve 3,,,,,
11/06/2023,MR3 Des Meads Trophy,Round 11,,,,,,,,,,,,,,,Penny's Bookstore Old Boys
18/06/2023,MR1 Doug Gracie Cup,Round 10,Upcoming,Gallagher Hockey Centre,New World Te Rapa Turf 1,19:15,TA Finnz,,,,,Collegians New World,,,,,
18/06/2023,MR1 Doug Gracie Cup,Round 10,Upcoming,Gallagher Hockey Centre,Lugtons Turf 2,16:40,Thames Valley United,,,,,OneStaff Wanderers Reserve Men,,,,,
18/06/2023,MR1 Doug Gracie Cup,Round 10,Upcoming,Gallagher Hockey Centre,New World Te Rapa Turf 1,13:35,Varsity Pioneer M,,,,,Harrisons Solar Old Boys,,,,,
18/06/2023,MR1 Doug Gracie Cup,Round 10,,,,,,,,,,,,,,,Suburbs Prem Dev Men
18/06/2023,MR2 HHA Shield,Round 12,Upcoming,Gallagher Hockey Centre,Lugtons Turf 2,12:25,Varsity R2 Men,,,,,TA Hamilton Radiology,,,,,
